filename,distance,centroid
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p4s4r_AL_objs.csv,52345.4955166,"(1600.16, 39515.7, 50.7148)"
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p4s4r_AL_objs.csv,50068.8229028,"(3941.25, 38391.5, 179.761)"
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p4s4r_AL_objs.csv,34557.8411017,"(13918.5, 96148.6, 475.12699999999995)"
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p4s4r_AL_objs.csv,28239.5495119,"(22363.3, 86752.8, 202.54)"
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p4s4r_AL_objs.csv,28833.7974231,"(22511.7, 84506.7, 354.92400000000004)"
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p4s4r_AL_objs.csv,32073.341051,"(23497.6, 46147.4, 10.2272)"
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p4s4r_AL_objs.csv,18563.2706831,"(56050.4, 59047.3, 109.024)"
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p4s4r_AL_objs.csv,3691.94040403,"(65278.0, 75436.5, 264.408)"
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p4s4r_AL_objs.csv,3202.2605411,"(65462.1, 78517.3, 112.21600000000001)"
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p4s4r_AL_objs.csv,3651.44683214,"(66846.0, 70260.1, 510.542)"
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p4s4r_AL_objs.csv,14727.9399997,"(68559.7, 102418.0, -3.90049)"
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p4s4r_AL_objs.csv,6938.81843434,"(71683.2, 23628.9, 361.1)"
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p4s4r_AL_objs.csv,17887.3631413,"(72985.2, 102692.0, 568.013)"
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p4s4r_AL_objs.csv,5616.76464819,"(73556.4, 22847.5, 178.463)"
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p4s4r_AL_objs.csv,7791.75740217,"(74313.4, 26025.4, 233.12900000000002)"
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p4s4r_AL_objs.csv,19288.6333445,"(75148.0, 102077.0, 138.756)"
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p4s4r_AL_objs.csv,9984.16898975,"(77080.1, 28278.4, 300.416)"
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p4s4r_AL_objs.csv,617.737649629,"(78118.8, 73421.0, 349.597)"
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p4s4r_AL_objs.csv,10305.2990412,"(78417.7, 63224.1, 38.0133)"
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p4s4r_AL_objs.csv,10803.3638555,"(80145.3, 28367.9, 103.804)"
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p4s4r_AL_objs.csv,7087.87521566,"(82833.5, 20383.1, 24.5354)"
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p4s4r_AL_objs.csv,8566.89241374,"(84966.8, 40717.0, -63.7939)"
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p4s4r_AL_objs.csv,17874.2477075,"(86103.0, 98271.1, -261.60400000000004)"
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p4s4r_AL_objs.csv,10807.0976021,"(86390.5, 9388.4, 491.85)"
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p4s4r_AL_objs.csv,16927.6318855,"(87105.7, 98284.6, 346.99)"
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p4s4r_AL_objs.csv,7923.90576991,"(87481.4, 40737.4, 266.084)"
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p4s4r_AL_objs.csv,5581.99675028,"(88323.4, 53215.3, 327.553)"
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p4s4r_AL_objs.csv,6342.59139448,"(94514.2, 39798.3, 926.628)"
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p4s4r_AL_objs.csv,10917.5445664,"(94990.6, 14373.3, 31.237)"
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p4s4r_AL_objs.csv,13874.7976802,"(97596.3, 31524.1, 257.445)"
